protocol__name,experiment__name,experiment__trial_id,plot__name,plot__lookup_key,sample__name,sample__planned_growth_stage,sample__items_per_sample,measurement_name,measurement_date,analytical_method,variable,value
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP03.PLOT303,303,FTR337.BLOCK01.REP03.PLOT303.T.002,VT,3,FTR337.BLOCK01.REP03.PLOT303.T.002.01,2020-08-31 12:20:59,,dry_weight_g,238.4
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT401,401,FTR338.BLOCK01.REP04.PLOT401.T.004,VT,1,FTR338.BLOCK01.REP04.PLOT401.T.004.01,2020-06-18 17:51:00,,dry_weight_g,178.4
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT402,402,FTR338.BLOCK01.REP04.PLOT402.T.002,VT,1,FTR338.BLOCK01.REP04.PLOT402.T.002.01,2020-06-18 17:51:00,,dry_weight_g,180
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT402,402,FTR338.BLOCK01.REP04.PLOT402.T.003,VT,1,FTR338.BLOCK01.REP04.PLOT402.T.003.01,2020-06-18 17:51:00,,dry_weight_g,181
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT403,403,FTR338.BLOCK01.REP04.PLOT403.T.002,VT,1,FTR338.BLOCK01.REP04.PLOT403.T.002.01,2020-06-18 17:51:00,,dry_weight_g,106.5
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT403,403,FTR338.BLOCK01.REP04.PLOT403.T.003,VT,1,FTR338.BLOCK01.REP04.PLOT403.T.003.01,2020-06-18 17:51:00,,dry_weight_g,182.3
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT404,404,FTR338.BLOCK01.REP04.PLOT404.T.002,VT,1,FTR338.BLOCK01.REP04.PLOT404.T.002.01,2020-06-18 17:51:00,,dry_weight_g,154.7
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT404,404,FTR338.BLOCK01.REP04.PLOT404.T.003,VT,1,FTR338.BLOCK01.REP04.PLOT404.T.003.01,2020-06-18 17:51:00,,dry_weight_g,131.3
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT405,405,FTR338.BLOCK01.REP04.PLOT405.T.002,VT,1,FTR338.BLOCK01.REP04.PLOT405.T.002.01,2020-06-18 17:51:00,,dry_weight_g,159.2
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP04.PLOT405,405,FTR338.BLOCK01.REP04.PLOT405.T.003,VT,1,FTR338.BLOCK01.REP04.PLOT405.T.003.01,2020-06-18 17:51:00,,dry_weight_g,129.9
